id,app,auth_methods,evidence_url,snippets,confidence
2,HubSpot,"[""API key"", ""Unclear""]",https://developers.hubspot.com/docs,"[""https://apitracker.io/a/hubspot"", ""https://developers.hubspot.com/docs"", ""https://community.hubspot.com/t/where-is-my-developer-api-key/113930""]",high
5,Twenty,"[""Unclear""]",https://docs.twenty.com/developers/extend/api,"[""https://news.ycombinator.com/item?id=36791434"", ""https://docs.twenty.com/developers/extend/api"", ""https://docs.twenty.com/getting-started/introduction""]",low
6,Podio,"[""Unclear""]",https://developers.podio.com,"[""https://developers.podio.com"", ""https://apis.io/apis/podio/rest-api"", ""https://developers.podio.com/doc/files""]",low
7,Zoho CRM,"[""Unclear""]",https://www.zoho.com/crm/developer/docs,"[""https://www.youtube.com/watch?v=ZdicRo5Z6IU"", ""https://apitracker.io/a/zoho-crm"", ""https://www.zoho.com/crm/developer/docs""]",low
8,Close,"[""Unclear""]",https://developer.close.com/api/overview,"[""https://developer.close.com/api/overview"", ""https://developer.close.com"", ""https://developer.close.com/api/overview/api-clients""]",low
10,DealCloud,"[""Unclear""]",https://api.docs.dealcloud.com/docs,"[""https://apitracker.io/a/dealcloud"", ""https://api.docs.dealcloud.com/docs"", ""https://api.docs.dealcloud.com/docs/data""]",low
11,Zendesk,"[""Unclear""]",https://developer.zendesk.com/api-reference,"[""https://developer.zendesk.com/api-reference"", ""https://developer.zendesk.com/documentation/api-basics"", ""https://developer.zendesk.com/documentation""]",low
13,Freshdesk,"[""Unclear""]",https://developers.freshworks.com/docs,"[""https://apis.io/providers/freshdesk"", ""https://api.freshservice.com"", ""https://developers.freshworks.com/docs""]",low
15,Pylon,"[""Unclear""]",https://docs.usepylon.com/pylon-docs/developer/api,"[""https://docs.usepylon.com/pylon-docs/developer/api/api-reference/accounts"", ""https://docs.usepylon.com/pylon-docs/developer/api/api-reference/users"", ""https://docs.usepylon.com/pylon-docs/developer/api""]",low
17,Plain,"[""Unclear""]",https://help.plain.com/article/api-quickstart,"[""https://www.plain.com/docs/graphql/introduction"", ""https://www.plain.com/blog/api-first-support-platforms"", ""https://help.plain.com/article/api-quickstart""]",low
18,Help Scout,"[""Unclear""]",https://docs.helpscout.com/article/1141-docs-api,"[""https://docs.helpscout.com/article/1141-docs-api"", ""https://developer.helpscout.com"", ""https://developer.helpscout.com/docs-api""]",low
20,Gladly,"[""Unclear""]",https://developer.gladly.com/rest,"[""https://developer.gladly.com/chat"", ""https://developer.gladly.com"", ""https://developer.gladly.com/rest""]",low
21,Slack,"[""Unclear""]",https://docs.slack.dev,"[""https://docs.slack.dev"", ""https://docs.slack.dev/apis"", ""https://slack.com/marketplace/APXEJ79UY-slack-developer-tools""]",low
22,Twilio,"[""Unclear""]",https://www.twilio.com/docs,"[""https://www.twilio.com/docs"", ""https://apitracker.io/a/twilio"", ""https://www.twilio.com/en-us/developers""]",low
26,Discord,"[""Unclear""]",https://docs.discord.com/developers/reference,"[""https://github.com/discord/discord-api-docs"", ""https://docs.discord.com/developers/reference"", ""https://support-dev.discord.com/hc/en-us/articles/8562894815383-Discord-Developer-Terms-of-Service""]",low
29,Aircall,"[""Unclear""]",https://developers.aircall.io/api-references,"[""https://developer.aircall.io/docs/introduction"", ""https://apis.io/providers/aircall"", ""https://developers.aircall.io/api-references""]",low
30,Vonage,"[""Unclear""]",https://developer.vonage.com/en/home,"[""https://developer.vonage.com/en/vonage-business-cloud/overview"", ""https://developer.vonage.com/en/video/overview"", ""https://developer.vonage.com/en/home""]",low
34,GoHighLevel,"[""Unclear""]",https://help.gohighlevel.com/support/solutions/articles/48001060529-highlevel-api-documentation,"[""https://help.gohighlevel.com/support/solutions/articles/48001060529-highlevel-api-documentation"", ""https://marketplace.gohighlevel.com/docs"", ""https://github.com/GoHighLevel/highlevel-api-docs""]",low
36,Klaviyo,"[""Unclear""]",https://developers.klaviyo.com,"[""https://apis.io/apis/klaviyo/klaviyo-profiles-api"", ""https://help.klaviyo.com/hc/en-us/articles/360045726811"", ""https://developers.klaviyo.com""]",low
37,systeme.io,"[""Unclear""]",https://help.systeme.io/article/2323-how-to-use-systeme-io-public-api,"[""https://help.systeme.io/article/2323-how-to-use-systeme-io-public-api"", ""https://www.youtube.com/watch?v=DFaKrGNln2o"", ""https://apps.make.com/systeme-io?ref=hitoritech.com""]",low
40,SendGrid,"[""Unclear""]",https://www.twilio.com/docs/sendgrid/for-developers,"[""https://www.twilio.com/docs/sendgrid/for-developers"", ""https://apis.io/apis/sendgrid/sendgrid-scheduled-sends-api"", ""https://apitracker.io/a/sendgrid""]",low
41,Shopify,"[""Unclear""]",https://shopify.dev/docs,"[""https://www.antlam.com/work/shopify-dev"", ""https://shopify.dev/docs"", ""https://help.shopify.com/en/manual/apps/about-apps""]",low
42,WooCommerce,"[""Unclear""]",https://woocommerce.com/document/woocommerce-rest-api,"[""https://woocommerce.com/document/woocommerce-rest-api"", ""https://developer.woocommerce.com/docs/apis/rest-api"", ""https://developer.woocommerce.com/docs/apis/rest-api/v3""]",low
44,Salesforce Commerce Cloud,"[""Unclear""]",https://apitracker.io/a/salesforce-commerce-cloud,"[""https://github.com/salesforcecommercecloud/commerce-sdk"", ""https://apitracker.io/a/salesforce-commerce-cloud"", ""https://rhino-inquisitor.com/salesforce-b2c-commerce-cloud-documentation""]",low
45,Magento (Adobe Commerce),"[""Unclear""]",https://developer.adobe.com/commerce/webapi/rest,"[""https://developer.adobe.com/commerce/webapi/rest"", ""https://developer.adobe.com/commerce/docs"", ""https://providers.apis.io/providers/adobe-commerce""]",low
46,Squarespace,"[""Unclear""]",https://developers.squarespace.com,"[""https://developers.squarespace.com"", ""https://developers.squarespace.com/commerce-apis/products-overview"", ""https://apix-drive.com/en/blog/other/squarespace-api-integration""]",low
47,Ecwid,"[""Unclear""]",https://github.com/Ecwid/ecwid-api-docs/blob/master/includes/_overview.md,"[""https://github.com/Ecwid/ecwid-api-docs/blob/master/includes/_overview.md"", ""https://apitracker.io/a/ecwid"", ""https://github.com/Ecwid/ecwid-api-docs""]",low
